y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
42;4;1973;586800;129424;587400;129024;2.15658330;48.86512345;2.16477403;48.86153901
42;11;1979;591000;129424;591600;129024;2.21383113;48.86519965;2.22201774;48.86161111
42;18;1955 1955-HD;595200;129424;595800;129024;2.27107910;48.86524715;2.27926159;48.86165451
42;19;1856 1955 1955-HD;595800;129424;596400;129024;2.27925739;48.86525160;2.28743929;48.86165837
42;20;1856 1905 1948-v1 1948-v2 1948-v3 1948-HD;596400;129424;597000;129024;2.28743568;48.86525545;2.29561699;48.86166164
42;32;1965-v2 1965-HD;603600;129424;604200;129024;2.38557521;48.86525607;2.39374941;48.86165523
42;33;1929 1966-HD;604200;129424;604800;129024;2.39375350;48.86525231;2.40192711;48.86165089
42;34;1967 1967-HD;604800;129424;605400;129024;2.40193179;48.86524797;2.41010481;48.86164596
42;36;1982;606000;129424;606600;129024;2.41828837;48.86523754;2.42646020;48.86163435
42;37;1963;606600;129424;607200;129024;2.42646666;48.86523144;2.43463789;48.86162767
43;18;1957 1985 1985-HD;595200;129024;595800;128624;2.27108389;48.86165006;2.27926578;48.85805742
43;19;1957-v1 1957-v2 1957-HD;595800;129024;596400;128624;2.27926159;48.86165451;2.28744289;48.85806128
43;20;1957;596400;129024;597000;128624;2.28743929;48.86165837;2.29562000;48.85806455
43;32;1925 1966 1966-HD;603600;129024;604200;128624;2.38557171;48.86165898;2.39374532;48.85805814
43;33;1992-v2 1992-HD;604200;129024;604800;128624;2.39374941;48.86165523;2.40192243;48.85805380
43;34;1967 1967-HD;604800;129024;605400;128624;2.40192711;48.86165089;2.41009954;48.85804887
43;36;1982;606000;129024;606600;128624;2.41828250;48.86164045;2.42645374;48.85803726
43;37;1963;606600;129024;607200;128624;2.42646020;48.86163435;2.43463084;48.85803058
43;39;1989;607800;129024;608400;128624;2.44281558;48.86162040;2.45098503;48.85801546
43;40;1989;608400;129024;609000;128624;2.45099326;48.86161254;2.45916213;48.85800702
44;8;1973;589200;128624;589800;128224;2.18931773;48.85797634;2.19750492;48.85438956
44;18;1954 1956-HD;595200;128624;595800;128224;2.27108867;48.85805298;2.27926997;48.85446033
44;19;1954 1954-HD;595800;128624;596400;128224;2.27926578;48.85805742;2.28744649;48.85446419
44;32;1992;603600;128624;604200;128224;2.38556822;48.85806189;2.39374124;48.85446105
44;33;1992 1992-HD;604200;128624;604800;128224;2.39374532;48.85805814;2.40191775;48.85445671
44;34;1992;604800;128624;605400;128224;2.40192243;48.85805380;2.41009426;48.85445178
